********************************************************************************
LOGGING TIME: 20200930_181119
CLIENT IP: 127.0.1.1
USERNAME: baba
OS: Linux
ARCHITECTURE: amd64
VERSION: 4.15.0-118-generic
RESOLUTION: 1920.0 1080.0
********************************************************************************
MR, 1, 1602022801416
MC, 0, 0
MM, 13, 371, 391
MM, 25, 371, 7
MM, 56, 371, 8
MM, 86, 365, 7
MM, 119, 359, 7
MM, 158, 353, 7
MM, 190, 351, 29
MM, 223, 348, 1
MM, 257, 348, 0
MM, 290, 348, 0
MM, 329, 348, 7
MM, 377, 348, 7
MM, 421, 348, 7
MM, 471, 348, 8
MM, 517, 357, 7
MM, 565, 368, 10
MM, 600, 381, 4
MM, 635, 399, 8
MM, 664, 412, 7
MM, 690, 429, 7
MM, 707, 447, 8
MM, 727, 469, 7
MM, 746, 494, 7
MM, 763, 518, 8
MM, 782, 553, 7
MM, 797, 583, 8
MM, 801, 595, 6
MM, 815, 640, 8
MM, 819, 652, 7
MM, 818, 652, 212
MM, 816, 652, 7
MM, 814, 653, 8
MM, 811, 662, 7
MM, 808, 685, 7
MM, 804, 712, 7
MM, 804, 734, 7
MM, 804, 762, 8
MM, 804, 785, 8
MM, 804, 806, 7
MM, 804, 824, 6
MM, 804, 845, 8
MM, 804, 867, 7
MM, 804, 886, 7
MM, 804, 905, 7
MM, 805, 924, 8
MM, 810, 942, 7
MM, 815, 962, 7
MM, 820, 976, 8
MM, 827, 993, 7
MM, 831, 1006, 7
MM, 834, 1013, 8
MM, 838, 1021, 7
MM, 842, 1026, 11
MM, 846, 1033, 5
MM, 849, 1039, 8
MM, 854, 1044, 10
MM, 858, 1047, 3
MM, 863, 1051, 6
MM, 867, 1053, 8
MM, 870, 1055, 7
MM, 873, 1057, 8
MM, 875, 1058, 7
MM, 877, 1058, 7
MM, 878, 1059, 8
MM, 879, 1060, 6
MM, 880, 1060, 8
MM, 880, 1060, 7
MM, 881, 1061, 7
MM, 881, 1061, 8
MM, 882, 1061, 7
MM, 882, 1061, 14
MM, 883, 1061, 132
MM, 884, 1061, 7
MM, 886, 1061, 7
MM, 889, 1061, 8
MM, 893, 1055, 7
MM, 897, 1048, 8
MM, 902, 1039, 6
MM, 906, 1032, 8
MM, 908, 1027, 7
MM, 909, 1024, 7
MM, 910, 1024, 7
MM, 910, 1022, 8
MM, 911, 1022, 7
MM, 912, 1021, 7
MM, 912, 1021, 7
MM, 912, 1020, 8
MM, 912, 1019, 15
MM, 912, 1019, 342
MM, 911, 1019, 8
MM, 910, 1019, 7
MM, 910, 1019, 7
MM, 909, 1019, 7
MM, 908, 1020, 8
MM, 908, 1020, 8
MM, 907, 1021, 6
MM, 907, 1021, 8
MM, 906, 1021, 7
MM, 905, 1021, 8
MM, 905, 1021, 6
MM, 904, 1021, 10
MM, 903, 1022, 5
MM, 903, 1022, 9
MM, 903, 1022, 64
MP, 1, 2862
MR, 1, 99
MC, 1, 0
MM, 903, 1019, 545
MM, 903, 997, 8
MM, 903, 957, 6
MM, 903, 931, 8
MM, 903, 904, 7
MM, 903, 885, 7
MM, 903, 875, 7
MM, 903, 866, 8
MM, 903, 860, 8
MM, 903, 856, 7
MM, 903, 852, 7
MM, 903, 849, 7
MM, 903, 847, 9
MM, 903, 845, 5
MM, 903, 844, 9
MM, 903, 843, 6
MM, 903, 847, 91
MM, 903, 860, 12
MM, 903, 877, 13
MM, 903, 891, 1
MM, 903, 900, 1
MM, 903, 912, 7
MM, 903, 920, 8
MM, 903, 927, 6
MM, 903, 934, 7
MM, 903, 940, 7
MM, 903, 944, 9
MM, 903, 947, 6
MM, 903, 951, 7
MM, 902, 952, 7
MM, 902, 953, 8
MM, 901, 955, 7
MM, 900, 958, 7
MM, 900, 961, 8
MM, 899, 964, 7
MM, 898, 967, 9
MM, 898, 970, 6
MM, 898, 972, 10
MM, 898, 974, 4
MM, 898, 977, 10
MM, 898, 979, 19
MM, 898, 980, 3
MM, 898, 982, 3
MM, 898, 982, 6
MM, 898, 983, 3
MM, 898, 984, 7
MM, 898, 984, 7
MM, 898, 985, 8
MM, 898, 985, 7
MM, 898, 986, 7
MM, 898, 987, 7
MM, 898, 987, 8
MM, 898, 988, 7
MM, 898, 989, 22
MM, 898, 989, 8
MM, 898, 990, 6
MM, 898, 990, 8
MM, 898, 991, 7
MM, 898, 992, 7
MM, 898, 992, 29
MM, 898, 993, 8
MM, 898, 994, 7
MM, 898, 994, 7
MM, 898, 995, 8
MM, 898, 995, 7
MM, 898, 996, 7
MM, 898, 997, 7
MM, 898, 998, 8
MM, 898, 999, 7
MM, 898, 999, 7
MM, 898, 1000, 7
MM, 898, 1000, 10
MM, 898, 1001, 9
MM, 898, 1002, 12
MM, 898, 1004, 5
MM, 898, 1005, 6
MM, 898, 1007, 8
MM, 898, 1009, 4
MM, 898, 1010, 6
MM, 898, 1012, 7
MM, 898, 1012, 9
MP, 1, 375
MR, 1, 98
MC, 1, 0
MM, 898, 1011, 341
MM, 898, 1003, 7
MM, 898, 990, 7
MM, 898, 978, 9
MM, 898, 965, 6
MM, 898, 949, 7
MM, 898, 931, 8
MM, 895, 917, 8
MM, 893, 904, 6
MM, 890, 885, 7
MM, 889, 869, 8
MM, 886, 855, 7
MM, 885, 846, 7
MM, 883, 835, 8
MM, 882, 824, 7
MM, 882, 814, 7
MM, 880, 806, 7
MM, 879, 799, 8
MM, 879, 791, 7
MM, 878, 787, 7
MM, 878, 784, 8
MM, 877, 781, 11
MM, 877, 779, 3
MM, 877, 776, 8
MM, 876, 774, 7
MM, 876, 772, 7
MM, 876, 769, 7
MM, 875, 767, 9
MM, 875, 765, 6
MM, 875, 763, 8
MM, 875, 761, 7
MM, 874, 760, 8
MM, 874, 758, 9
MM, 873, 758, 6
MM, 873, 757, 7
MM, 873, 757, 7
MM, 873, 756, 6
MM, 873, 755, 8
MM, 873, 759, 503
MM, 873, 766, 7
MM, 873, 785, 8
MM, 873, 806, 7
MM, 873, 821, 7
MM, 873, 834, 8
MM, 873, 848, 6
MM, 873, 858, 8
MM, 873, 866, 7
MM, 873, 873, 8
MM, 873, 880, 6
MM, 873, 888, 8
MM, 873, 895, 7
MM, 873, 901, 9
MM, 873, 907, 5
MM, 873, 912, 8
MM, 873, 917, 7
MM, 873, 919, 8
MM, 873, 921, 8
MM, 873, 923, 11
MM, 873, 925, 2
MM, 873, 928, 8
MM, 873, 932, 7
MM, 873, 936, 8
MM, 873, 938, 6
MM, 873, 941, 8
MM, 873, 944, 7
MM, 873, 946, 7
MM, 873, 948, 8
MM, 873, 950, 7
MM, 874, 952, 7
MM, 875, 954, 7
MM, 876, 958, 8
MM, 877, 959, 7
MM, 878, 962, 7
MM, 880, 964, 7
MM, 881, 967, 9
MM, 881, 968, 9
MM, 882, 970, 6
MM, 883, 973, 6
