********************************************************************************
LOGGING TIME: 20201017_172428
CLIENT IP: 127.0.0.1
USERNAME: HP
OS: Windows 10
ARCHITECTURE: x86
VERSION: 10.0
RESOLUTION: 1366.0 768.0
********************************************************************************
MP, 1, 1602022801610
MR, 1, 161
MC, 1, 0
MM, 413, 115, 478
MM, 419, 118, 0
MM, 430, 121, 17
MM, 449, 126, 9
MM, 473, 132, 10
MM, 516, 140, 12
MM, 556, 149, 17
MM, 602, 162, 2
MM, 646, 178, 14
MM, 680, 194, 6
MM, 719, 212, 11
MM, 759, 233, 19
MM, 786, 250, 10
MM, 807, 264, 10
MM, 824, 277, 10
MM, 841, 287, 4
MM, 845, 292, 16
MM, 843, 293, 245
MM, 840, 293, 10
MM, 836, 294, 11
MM, 831, 295, 10
MM, 825, 296, 10
MM, 818, 298, 5
MM, 811, 299, 15
MM, 804, 300, 9
MM, 796, 302, 11
MM, 790, 303, 11
MM, 785, 304, 10
MM, 779, 305, 4
MM, 775, 306, 17
MM, 771, 307, 7
MM, 769, 307, 7
MM, 767, 308, 16
MM, 766, 308, 6
MM, 765, 308, 11
MM, 763, 308, 5
MM, 763, 308, 29
MM, 762, 308, 8
MM, 761, 308, 3
MM, 760, 309, 11
MM, 759, 309, 10
MM, 758, 309, 10
MM, 757, 309, 13
MM, 755, 309, 9
MM, 754, 309, 17
MM, 753, 309, 21
MM, 753, 309, 17
MM, 752, 309, 34
MP, 1, 257
MR, 1, 134
MC, 1, 0
MM, 739, 320, 4148
MM, 686, 362, 14
MM, 637, 406, 14
MM, 597, 441, 12
MM, 561, 471, 10
MM, 528, 495, 11
MM, 508, 516, 10
MM, 487, 535, 10
MM, 476, 547, 10
MM, 465, 559, 10
MM, 457, 568, 9
MM, 447, 577, 6
MM, 441, 582, 16
MM, 434, 589, 3
MM, 430, 593, 17
MM, 426, 596, 11
MM, 425, 598, 10
MM, 423, 600, 10
MM, 422, 600, 3
MM, 422, 601, 17
MM, 421, 601, 5
MM, 420, 602, 16
MM, 420, 603, 20
MM, 419, 605, 10
MM, 418, 609, 2
MM, 416, 617, 19
MM, 414, 628, 3
MM, 413, 641, 16
MM, 412, 662, 11
MM, 408, 690, 9
MM, 408, 705, 7
MM, 407, 718, 15
MM, 407, 727, 10
MM, 407, 735, 10
MM, 407, 742, 6
MM, 407, 749, 15
MM, 407, 754, 1
MM, 407, 757, 19
MM, 407, 758, 10
MM, 407, 760, 10
MM, 408, 760, 5
MM, 408, 761, 0
MM, 408, 761, 16
MM, 408, 762, 20
MM, 408, 763, 21
MM, 408, 763, 20
MM, 408, 764, 20
MM, 408, 765, 9
MM, 408, 765, 6
MM, 408, 766, 12
MM, 408, 767, 9
MM, 408, 768, 14
MM, 408, 767, 12
MM, 408, 768, 10
MM, 408, 768, 20
MM, 408, 767, 23
MM, 408, 767, 260
MM, 409, 767, 50
MM, 409, 767, 12
MM, 409, 766, 4
MM, 409, 766, 9
MM, 409, 765, 19
MM, 409, 763, 9
MM, 409, 762, 12
MM, 409, 761, 10
MM, 409, 759, 4
MM, 409, 757, 16
MM, 409, 755, 10
MM, 409, 753, 10
MM, 409, 752, 2
MM, 409, 750, 11
MM, 409, 747, 10
MM, 408, 746, 19
MM, 408, 745, 4
MM, 408, 744, 16
MM, 407, 744, 10
MM, 407, 743, 10
MM, 407, 743, 11
MM, 406, 743, 10
MM, 406, 742, 10
MM, 405, 741, 3
MM, 405, 741, 17
MM, 404, 741, 0
MM, 404, 740, 11
MM, 404, 740, 11
MM, 404, 740, 29
MM, 403, 740, 11
MM, 403, 740, 1109
MM, 403, 740, 12
MM, 404, 740, 1
MM, 404, 740, 12
MM, 405, 740, 18
MM, 406, 740, 2
MM, 407, 741, 15
MM, 407, 742, 4
MM, 408, 742, 19
MM, 409, 742, 9
MM, 409, 743, 4
MM, 410, 743, 10
MM, 410, 743, 18
MM, 411, 744, 2
MM, 411, 744, 10
MM, 412, 745, 23
MM, 413, 745, 24
MM, 411, 745, 27
